Period,Regional_Team,Practice_Code,BNF_Chapter_Code,BNF_Chapter_Name,BNF_Chemical_Substance,BNF_Description,Items,Net_Ingredient_Cost_GBP,Actual_Cost_GBP,Cost_Per_Item_GBP
202512,South East,Y18322,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,47,£65.80,£65.53,£1.39
202512,London,Y14555,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,28,£26.60,£27.91,£1.00
202512,East of England,Y17734,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,3,£2.25,£2.28,£0.76
202512,East of England,Y18792,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,52,£72.80,£69.63,£1.34
202512,South East,Y10775,04,Central Nervous System,Paracetamol,Paracetamol 500mg tabs,23,£11.50,£11.07,£0.48
202512,South West,Y13843,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,54,£351.00,£348.37,£6.45
202512,South West,Y19467,06,Endocrine System,Metformin,Metformin 500mg tabs,38,£41.80,£41.07,£1.08
202512,North West,Y14859,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,69,£103.50,£106.90,£1.55
202512,London,Y10391,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,35,£49.00,£50.55,£1.44
202512,North East and Yorkshire,Y18392,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,15,£31.50,£30.29,£2.02
202512,Midlands,Y15056,04,Central Nervous System,Paracetamol,Paracetamol 500mg tabs,30,£15.00,£14.66,£0.49
202512,South West,Y19062,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,22,£46.20,£44.98,£2.04
202512,South East,Y16019,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,16,£33.60,£33.52,£2.10
202512,North East and Yorkshire,Y19914,06,Endocrine System,Metformin,Metformin 500mg tabs,42,£46.20,£48.25,£1.15
202512,East of England,Y15450,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,31,£201.50,£195.83,£6.32
202512,South West,Y16776,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,56,£47.60,£46.30,£0.83
202512,North East and Yorkshire,Y17994,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,1,£1.40,£1.38,£1.38
202512,London,Y10698,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,37,£55.50,£54.39,£1.47
202512,East of England,Y15791,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,26,£39.00,£37.62,£1.45
202512,East of England,Y17777,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,28,£16.80,£16.58,£0.59
202512,Midlands,Y18338,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,15,£31.50,£29.98,£2.00
202512,London,Y11802,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,23,£13.80,£14.40,£0.63
202512,North West,Y15423,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,30,£42.00,£42.12,£1.40
202512,Midlands,Y14499,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,51,£71.40,£70.32,£1.38
202512,North West,Y14973,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,49,£73.50,£76.98,£1.57
202512,London,Y14493,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,72,£54.00,£55.15,£0.77
202512,Midlands,Y13446,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,59,£56.05,£53.77,£0.91
202512,East of England,Y17022,06,Endocrine System,Metformin,Metformin 500mg tabs,78,£85.80,£85.82,£1.10
202512,South West,Y11069,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,37,£44.40,£46.60,£1.26
202512,Midlands,Y18319,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,8,£7.60,£7.87,£0.98
202512,North East and Yorkshire,Y13009,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,53,£47.70,£48.52,£0.92
202512,North East and Yorkshire,Y15596,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,29,£188.50,£192.32,£6.63
202512,East of England,Y12368,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,2,£1.70,£1.72,£0.86
202512,South West,Y14146,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,20,£12.00,£12.09,£0.60
202512,South West,Y12491,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,2,£3.00,£3.10,£1.55
202512,South West,Y14142,06,Endocrine System,Metformin,Metformin 500mg tabs,41,£45.10,£43.72,£1.07
202512,South West,Y12838,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,34,£71.40,£69.15,£2.03
202512,South West,Y15237,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,17,£25.50,£24.86,£1.46
202512,Midlands,Y13147,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,40,£60.00,£61.38,£1.53
202512,East of England,Y16617,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,33,£28.05,£29.05,£0.88
202512,Midlands,Y12489,06,Endocrine System,Metformin,Metformin 500mg tabs,29,£31.90,£30.35,£1.05
202512,London,Y19087,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,2,£3.00,£3.04,£1.52
202512,North West,Y18945,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,8,£52.00,£49.92,£6.24
202512,North West,Y18306,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,71,£149.10,£141.99,£2.00
202512,London,Y18867,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,51,£61.20,£63.06,£1.24
202512,North East and Yorkshire,Y17357,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,17,£15.30,£15.72,£0.92
202512,London,Y11365,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,74,£70.30,£70.34,£0.95
202512,North East and Yorkshire,Y14946,06,Endocrine System,Metformin,Metformin 500mg tabs,29,£31.90,£33.36,£1.15
202512,Midlands,Y16801,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,52,£44.20,£44.40,£0.85
202512,South East,Y11191,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,123,£172.20,£165.04,£1.34
202512,North East and Yorkshire,Y17494,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,46,£41.40,£42.69,£0.93
202512,South West,Y14186,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,56,£67.20,£69.06,£1.23
202512,South East,Y19086,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,17,£12.75,£13.06,£0.77
202512,East of England,Y16316,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,6,£7.20,£7.53,£1.26
202512,North West,Y16190,06,Endocrine System,Metformin,Metformin 500mg tabs,24,£26.40,£27.64,£1.15
202512,North East and Yorkshire,Y18120,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,62,£74.40,£75.03,£1.21
202512,East of England,Y10539,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,11,£71.50,£70.70,£6.43
202512,East of England,Y10924,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,28,£39.20,£40.43,£1.44
202512,South East,Y11015,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,78,£74.10,£74.48,£0.95
202512,North East and Yorkshire,Y12000,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,9,£13.50,£13.19,£1.47
202512,South East,Y17245,06,Endocrine System,Metformin,Metformin 500mg tabs,46,£50.60,£49.98,£1.09
202512,North West,Y13419,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,33,£49.50,£51.37,£1.56
202512,South West,Y14858,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,99,£74.25,£74.70,£0.75
202512,South West,Y16881,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,38,£45.60,£44.29,£1.17
202512,North East and Yorkshire,Y15115,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,63,£47.25,£47.02,£0.75
202512,London,Y13579,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,124,£105.40,£109.01,£0.88
202512,London,Y17830,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,35,£49.00,£46.92,£1.34
202512,Midlands,Y10666,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,37,£240.50,£238.38,£6.44
202512,South East,Y16981,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,18,£17.10,£16.55,£0.92
202512,South East,Y17240,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,18,£21.60,£21.61,£1.20
202512,East of England,Y11276,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,97,£87.30,£82.96,£0.86
202512,South West,Y10364,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,37,£22.20,£22.78,£0.62
202512,North East and Yorkshire,Y18905,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,56,£42.00,£40.34,£0.72
202512,East of England,Y16168,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,42,£50.40,£52.37,£1.25
202512,London,Y16891,04,Central Nervous System,Paracetamol,Paracetamol 500mg tabs,33,£16.50,£16.90,£0.51
202512,Midlands,Y10876,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,81,£526.50,£530.23,£6.55
202512,South West,Y13735,06,Endocrine System,Metformin,Metformin 500mg tabs,21,£23.10,£22.38,£1.07
202512,South West,Y12551,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,28,£33.60,£31.94,£1.14
202512,South West,Y18915,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,31,£201.50,£195.19,£6.30
202512,South East,Y11917,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,44,£66.00,£64.60,£1.47
202512,East of England,Y17041,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,156,£327.60,£313.30,£2.01
202512,London,Y12635,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,11,£10.45,£10.69,£0.97
202512,South East,Y12898,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,42,£88.20,£91.07,£2.17
202512,North East and Yorkshire,Y16943,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,39,£253.50,£250.77,£6.43
202512,Midlands,Y11970,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,63,£132.30,£137.68,£2.19
202512,London,Y18669,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,18,£37.80,£39.23,£2.18
202512,North West,Y16028,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,55,£357.50,£357.28,£6.50
202512,North East and Yorkshire,Y12371,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,52,£72.80,£70.25,£1.35
202512,Midlands,Y16166,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,60,£84.00,£82.70,£1.38
